bbl,address,borough,unitsres,rs_units,yearbuilt,bldgclass,wow_link
1012530004,224 RIVERSIDE DRIVE,MN,29,0,1901,D4,https://whoownswhat.justfix.org/bbl/1012530004
2045930036,3231 BARKER AVENUE,BX,37,0,1953,C6,https://whoownswhat.justfix.org/bbl/2045930036
1002630008,453 FDR DRIVE,MN,833,0,1955,D4,https://whoownswhat.justfix.org/bbl/1002630008
1019900005,15 CLAREMONT AVENUE,MN,27,0,1909,D3,https://whoownswhat.justfix.org/bbl/1019900005
1019370048,240 WEST 132 STREET,MN,11,0,1910,C5,https://whoownswhat.justfix.org/bbl/1019370048
1021760005,390 FT WASHINGTON AVENUE,MN,46,0,2000,D7,https://whoownswhat.justfix.org/bbl/1021760005
1014720006,405 EAST 77 STREET,MN,15,0,1910,C4,https://whoownswhat.justfix.org/bbl/1014720006
1018960065,2941 BROADWAY,MN,94,0,1912,D6,https://whoownswhat.justfix.org/bbl/1018960065
1014710012,421 EAST 76 STREET,MN,12,0,1986,D1,https://whoownswhat.justfix.org/bbl/1014710012
4087430102,81-15 268 STREET,QN,152,0,1950,C6,https://whoownswhat.justfix.org/bbl/4087430102
1010600011,443 WEST 50 STREET,MN,11,0,1901,C4,https://whoownswhat.justfix.org/bbl/1010600011
1012510052,305 WEST 91 STREET,MN,11,0,1897,C7,https://whoownswhat.justfix.org/bbl/1012510052
4021000029,98-50 63 DRIVE,QN,144,0,1949,D4,https://whoownswhat.justfix.org/bbl/4021000029
3056920001,5619 14 AVENUE,BK,42,0,1965,D1,https://whoownswhat.justfix.org/bbl/3056920001
1015010040,1112 PARK AVENUE,MN,49,0,1927,D4,https://whoownswhat.justfix.org/bbl/1015010040
1015580011,315 EAST 95 STREET,MN,30,0,1920,C1,https://whoownswhat.justfix.org/bbl/1015580011
5011320001,656 PORT RICHMOND AVENUE,SI,41,0,1971,C9,https://whoownswhat.justfix.org/bbl/5011320001
1003890017,198 EAST 7 STREET,MN,14,0,1930,C6,https://whoownswhat.justfix.org/bbl/1003890017
1011990121,31 WEST 85 STREET,MN,18,0,1907,C5,https://whoownswhat.justfix.org/bbl/1011990121
2029580031,855 EAST 175 STREET,BX,36,0,1932,D7,https://whoownswhat.justfix.org/bbl/2029580031
2028790184,170 WEST BURNSIDE AVENUE,BX,47,0,1927,D7,https://whoownswhat.justfix.org/bbl/2028790184
1016820002,2148 2 AVENUE,MN,16,0,1920,C7,https://whoownswhat.justfix.org/bbl/1016820002
4050050045,35-20 149 STREET,QN,14,0,1975,C7,https://whoownswhat.justfix.org/bbl/4050050045
2029740030,1166 FOX STREET,BX,59,0,0,D1,https://whoownswhat.justfix.org/bbl/2029740030
2032830055,357 EAST 195 STREET,BX,48,0,1941,D7,https://whoownswhat.justfix.org/bbl/2032830055
2027210043,1015 LONGWOOD AVENUE,BX,23,0,1931,C6,https://whoownswhat.justfix.org/bbl/2027210043
3083410118,EAST 73RD STREET,BK,24,0,2003,C1,https://whoownswhat.justfix.org/bbl/3083410118
2028920018,1828 ANTHONY AVENUE,BX,128,0,0,D7,https://whoownswhat.justfix.org/bbl/2028920018
3025620019,74 GREENPOINT AVENUE,BK,13,0,1931,C5,https://whoownswhat.justfix.org/bbl/3025620019
2055040050,19 ASTER PLACE,BX,36,0,1921,A8,https://whoownswhat.justfix.org/bbl/2055040050
1009140057,206 EAST 34 STREET,MN,33,0,1900,C7,https://whoownswhat.justfix.org/bbl/1009140057
